DATE|Bit Rate (Mbps)|Frame Rate(Fps)|Dropped Frame Count|Dropped Frames
Wed Feb  1 15:24:28 2017|4.75038604736|8.4|12|[3905, 3874, 3876, 3878, 3880, 3883, 3884, 3886, 3893, 3897, 3902, 3871]
Wed Feb  1 15:24:38 2017|5.44961547852|9.6|1|[3989]
Wed Feb  1 15:24:48 2017|5.88147735596|10.3|0|[]
