DATE|Bit Rate (Mbps)|Frame Rate(Fps)|Dropped Frame Count|Dropped Frames
Wed Feb  1 16:38:23 2017|9.68680419922|16.2|8|[10594, 10532, 10505, 10512, 10513, 10590, 10494, 10526]
Wed Feb  1 16:38:33 2017|9.70695419312|12.4|21|[10721, 10722, 10627, 10724, 10725, 10731, 10728, 10742, 10602, 10635, 10732, 10735, 10608, 10737, 10739, 10740, 10614, 10744, 10715, 10621, 10719]
Wed Feb  1 16:38:43 2017|11.0877990723|12.5|28|[10753, 10755, 10756, 10886, 10759, 10760, 10889, 10890, 10765, 10766, 10768, 10771, 10773, 10775, 10884, 10779, 10782, 10783, 10786, 10790, 10791, 10794, 10800, 10807, 10777, 10747, 10749, 10751]
Wed Feb  1 16:38:58 2017|5.23101043701|5.3|14|[10945, 10949, 10953, 10956, 10926, 10959, 10928, 10930, 10963, 10932, 10935, 10937, 10939, 10943]
