DATE|Bit Rate (Mbps)|Frame Rate(Fps)|Dropped Frame Count|Dropped Frames
Wed Feb  1 17:39:15 2017|7.82508392334|14.0|0|[]
Wed Feb  1 17:39:20 2017|7.81251220703|15.2|0|[]
